symbol,company,cik,edgar_name,method,confidence,note
CAM,Alliance Bernstein - AB California Intermediate Municipal ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Alliance Bernstein - AB California Intermediate Municipal ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
CBE,Cooper Industries plc,0000024454,COOPER INDUSTRIES INC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: COOPER INDUSTRIES INC (CIK 0000024454): sic=Electric Lighting & Wiring Equipment, dereg_evidence=True, n_recent_filings=289 | Cooper Industries plc (CIK 0001141982): sic=Electronic Components & Accessories, dereg_evidence=True, n_recent_filings=1000 | Cooper Industries, Ltd. (CIK 0001505206): sic=, dereg_evidence=False, n_recent_filings=5"
CBSS,Compass Bancshares Inc,0000018568,COMPASS BANCSHARES INC,edgar_company_search,high,unique exact EDGAR name match
CCE,,,,manual_web,,No historical company name provided in the input CSV for this symbol; cannot resolve a CIK by company name without violating the do-not-use-current-ticker-meaning instruction. Needs manual sourcing of the true historical S&P 500 constituent name for this symbol before a CIK can be resolved.
CELG,Celgene Corp,0000816284,CELGENE CORP /DE/,edgar_company_search,high,unique exact EDGAR name match
CEPH,Cephalon Inc.,0000873364,CEPHALON INC,edgar_company_search,high,unique exact EDGAR name match
CFC,Countrywide Financial Corp.,0000025191,COUNTRYWIDE FINANCIAL CORP,edgar_company_search,high,unique exact EDGAR name match
CFN,CareFusion Corp,0001457543,CAREFUSION Corp,edgar_company_search,high,unique exact EDGAR name match
CIN,Cinergy Corp.,0000899652,CINERGY CORP,edgar_company_search,high,unique exact EDGAR name match
CMCSK,Comcast Corp,0000022301,COMCAST HOLDINGS CORP,edgar_company_search,high,matched among 2 EDGAR search results
CMVT,Comverse Technology Inc,0000789205,COMVERSE TECHNOLOGY INC,edgar_company_search,high,matched among 2 EDGAR search results
CMX,Caremark Rx,0001000736,CAREMARK RX INC,edgar_company_search,high,matched among 2 EDGAR search results
COL,"Rockwell Collins, Inc.",0001137411,ROCKWELL COLLINS INC,edgar_company_search,high,unique exact EDGAR name match
COV,Covidien Plc,0001385187,Covidien plc,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Covidien Ltd (CIK 0001494396): sic=Surgical & Medical Instruments & Apparatus, dereg_evidence=False, n_recent_filings=12 | Covidien plc (CIK 0001385187): sic=Surgical & Medical Instruments & Apparatus, dereg_evidence=True, n_recent_filings=1000"
COV,Covidien Plc,0001385187,Covidien plc,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Covidien Ltd (CIK 0001494396): sic=Surgical & Medical Instruments & Apparatus, dereg_evidence=False, n_recent_filings=12 | Covidien plc (CIK 0001385187): sic=Surgical & Medical Instruments & Apparatus, dereg_evidence=True, n_recent_filings=1000"
CPN,Citigroup Capital XIII,0001075170,CITIGROUP CAPITAL XIII,edgar_company_search,high,unique exact EDGAR name match
CSRA,Cohen & Steers Real Assets Active ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Cohen & Steers Real Assets Active ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
CTB,Cooper Tire & Rubber Co.,0000024491,COOPER TIRE & RUBBER CO,edgar_company_search,high,unique exact EDGAR name match
CTX,Centex Corp.,0000018532,CENTEX LLC,edgar_company_search,high,Centex Corp renamed Centex LLC (same CIK) after Pulte Homes acquired Centex in 2009.
CVG,Convergys Corporation,0001062047,CONCENTRIX CVG Corp,edgar_company_search,high,"Convergys Corporation is the same continuous SEC registrant, renamed Concentrix CVG Corp after Concentrix acquired Convergys in 2018."
CVH,Coventry Corp,0000867440,COVENTRY CORP,edgar_company_search,high,unique exact EDGAR name match
CXO,Concho Resources Inc,0001364389,Concho Resources Inc,edgar_company_search,high,matched among 2 EDGAR search results
DF,Dean Foods Co,0000931336,DEAN FOODS CO,edgar_company_search,high,matched among 4 EDGAR search results
DJ,Dow Jones & Co. Inc.,0000029924,DOW JONES & CO INC,edgar_company_search,high,unique exact EDGAR name match
DNR,Denbury Resources Inc.,0000945764,DENBURY INC,edgar_company_search,high,Denbury Resources Inc renamed Denbury Inc (same CIK) after its 2020 Chapter 11 reorganization.
DPH,Delphi Corp.,0001072342,DELPHI CORP,edgar_company_search,high,unique exact EDGAR name match
DPS,Dr Pepper Snapple Group Inc,0001418135,Keurig Dr Pepper Inc.,edgar_company_search,high,Dr Pepper Snapple Group Inc renamed Keurig Dr Pepper Inc (same CIK) after the 2018 merger with Keurig Green Mountain.
DTV,DirecTV,0001465112,DIRECTV,edgar_company_search,high,matched among 16 EDGAR search results
DWDP,DuPont,0001666700,"DuPont de Nemours, Inc.",edgar_company_search,high,"DowDuPont Inc renamed DuPont de Nemours, Inc. (same CIK) after the 2019 three-way separation into Dow Inc, DuPont de Nemours Inc, and Corteva Inc."
EDS,Electronic Data Systems Corp,0000032232,ELECTRONIC DATA SYSTEMS CORP,edgar_company_search,high,matched among 3 EDGAR search results
EMC,Global X - Emerging Markets Great Consumer ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Global X - Emerging Markets Great Consumer ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
EOP,Equity Office Properties Trust,0001038339,EQUITY OFFICE PROPERTIES TRUST,edgar_company_search,high,unique exact EDGAR name match
ETFC,E*TRADE Financial Corp,0001015780,E TRADE FINANCIAL CORP,edgar_company_search,high,Exact EDGAR name match.
EVHC,Envision Healthcare Corporation,0001344154,Envision Healthcare Corp,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Envision Healthcare Corp (CIK 0001344154): sic=Services-General Medical & Surgical Hospitals, NEC, dereg_evidence=True, n_recent_filings=465 | Envision Healthcare Corp (CIK 0001678531): sic=Services-Offices & Clinics of  Doctors of  Medicine, dereg_evidence=True, n_recent_filings=238 | Envision Healthcare Holdings, Inc. (CIK 0001578318): sic=Services-General Medical & Surgical Hospitals, NEC, dereg_evidence=True, n_recent_filings=359"
FDC,First Data Corp.,0000883980,FIRST DATA CORP,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: FIRST DATA CORP (CIK 0000883980): sic=Services-Business Services, NEC, dereg_evidence=True, n_recent_filings=1000 | First Data Holdings Inc. (CIK 0001611166): sic=, dereg_evidence=False, n_recent_filings=1"
FDO,Family Dollar Stores Inc,0000034408,FAMILY DOLLAR STORES INC,edgar_company_search,high,unique exact EDGAR name match
FLIR,FLIR Systems Inc,0000354908,"Teledyne FLIR, LLC",edgar_company_search,high,"FLIR Systems Inc is the same continuous SEC registrant (former name confirmed via submissions.json, effective through 2021-05-14), renamed Teledyne FLIR LLC after Teledyne's 2021 acquisition."
FSH,Fisher Scientific Int'l,0000880430,FISHER SCIENTIFIC INTERNATIONAL INC,edgar_company_search,high,unique exact EDGAR name match
FSLB,Freescale Semiconductor Inc,0001392522,"Freescale Semiconductor, Ltd.",edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: Freescale Semiconductor, Ltd. (CIK 0001392522): sic=Semiconductors & Related Devices, dereg_evidence=True, n_recent_filings=673 | FREESCALE SEMICONDUCTOR INC (CIK 0001272547): sic=Semiconductors & Related Devices, dereg_evidence=True, n_recent_filings=491"
FTR,Fruehauf Corp,0000874268,FRUEHAUF TRAILER CORP,edgar_company_search,high,"Fruehauf Corp / Fruehauf Trailer Corp; exact EDGAR match found via broader query 'Fruehauf Trailer' (the earlier 'Fruehauf Corp' query variant had returned an unrelated individual, 'FRUEHAUF HUGO', as a false-positive fuzzy match, which is rejected here)."
GAS,AGL Resources Inc.,0001004155,SOUTHERN CO GAS,edgar_company_search,high,"AGL Resources Inc is the same continuous SEC registrant (former name confirmed via submissions.json through 2016-07-11), renamed Southern Co Gas after Southern Company acquired AGL Resources in 2016."
GDW,Golden West Financial,0000042293,GOLDEN WEST FINANCIAL CORP /DE/,edgar_company_search,high,unique exact EDGAR name match
GGP,GGP Inc,0001496048,Brookfield Property REIT Inc.,edgar_company_search,high,"GGP Inc (formerly General Growth Properties) is the same continuous SEC registrant, renamed Brookfield Property REIT Inc after Brookfield's 2018 acquisition; deregistered (Form 15-12B) 2021-08-30."
GLK,Great Lakes Chemical Corp,0000043362,GREAT LAKES CHEMICAL CORP,edgar_company_search,high,unique exact EDGAR name match
GR,Goodrich Corp.,0000042542,GOODRICH CORP,edgar_company_search,high,unique exact EDGAR name match
GTW,Gateway Inc.,0000895812,GATEWAY INC,edgar_company_search,high,Exact EDGAR name match; former name GATEWAY 2000 INC confirmed via submissions.json through 2000-05-15; deregistered 2007-2008 matching Acer's acquisition of Gateway.
HAR,Harvey Aluminium Inc,,,manual_web,,"Harvey Aluminium Inc: no EDGAR registrant found under this name or variants (Harvey Aluminum) via company_tickers.json, company_tickers_exchange.json, or EDGAR company-name search. This company appears to predate EDGAR's electronic filing coverage. Unresolved; a CIK for this specific historical registrant may not exist in EDGAR."
HCBK,Hudson City Bancorp Inc,0000921847,HUDSON CITY BANCORP INC,edgar_company_search,high,unique exact EDGAR name match
HCR,Manor Care Inc.,0000878736,MANOR CARE INC,edgar_company_search,high,unique exact EDGAR name match
HNZ,H. J. Heinz Company,0000046640,Kraft Heinz Foods Co,edgar_company_search,high,"H.J. Heinz Company is the same continuous SEC registrant (former name HEINZ H J CO confirmed via submissions.json through 2015-07-02), renamed Kraft Heinz Foods Co after the 2015 Kraft merger."
HPC,Hercules Inc.,0000046989,HERCULES INC,edgar_company_search,high,unique exact EDGAR name match
HSH,Hillshire Brands Co,0000023666,Hillshire Brands Co,edgar_company_search,high,unique exact EDGAR name match
HSP,Hospira Inc.,0001274057,HOSPIRA INC,edgar_company_search,high,unique exact EDGAR name match
JCP,J.C. Penney Co Inc,0000077182,J C PENNEY CORP INC,edgar_company_search,high,SEC registrant for J.C. Penney (former name PENNEY J C CO INC confirmed via submissions.json through 2002-01-28); this operating-company CIK is the entity that files J.C. Penney's SEC reports.
JNY,Jones Group,0000874016,JONES GROUP INC,edgar_company_search,high,unique exact EDGAR name match
KMG,"KMG Chemicals, Inc.",0001028215,KMG CHEMICALS INC,edgar_company_search,high,unique exact EDGAR name match
KRB,MBNA Corp.,0000870517,MBNA CORP,edgar_company_search,high,unique exact EDGAR name match
KRI,,,,manual_web,,No historical company name provided in the input CSV for this symbol; cannot resolve a CIK by company name without violating the do-not-use-current-ticker-meaning instruction. Needs manual sourcing of the true historical S&P 500 constituent name for this symbol before a CIK can be resolved.
KSE,KeySpan Corp,0001062379,KEYSPAN CORP,edgar_company_search,high,unique exact EDGAR name match
LEHMQ,Lehman Brothers Holding,0001382976,Lehman Brothers Holdings,edgar_company_search,high,matched among 17 EDGAR search results
LM,Legg Mason Inc,0000704051,"LEGG MASON, INC.",edgar_company_search,high,matched among 2 EDGAR search results
LO,Lorillard Inc.,0001424847,"LORILLARD, LLC",edgar_company_search,high,"Lorillard Inc is the same continuous SEC registrant (former name LORILLARD, INC. confirmed via submissions.json through 2015-06-12), renamed Lorillard LLC and filed Form 15-12B deregistration 2015-06-25 after Reynolds American's acquisition."
MAY,May Dept Stores,0000063416,MAY DEPARTMENT STORES CO,edgar_company_search,high,Exact EDGAR name match (May Dept Stores = May Department Stores Co).
MEDI,Harbor Health Care ETF (MEDI),,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Harbor Health Care ETF (MEDI)') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
MEE,Massey Energy Co.,0000037748,"Alpha Appalachia Holdings, Inc.",edgar_company_search,high,"Massey Energy Co is the same continuous SEC registrant (former name MASSEY ENERGY CO confirmed via submissions.json through 2011-06-14), renamed Alpha Appalachia Holdings Inc after Alpha Natural Resources acquired Massey in 2011."
MEL,Mellon Financial Corp,0000064782,MELLON FINANCIAL CORP,edgar_company_search,high,unique exact EDGAR name match
MERQ,Mercury Interactive Corp,0000867058,MERCURY INTERACTIVE CORP,edgar_company_search,high,unique exact EDGAR name match
MFE,McAfee Inc.,0000890801,"McAfee, Inc.",edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: McAfee, Inc. (CIK 0000890801): sic=Services-Prepackaged Software, dereg_evidence=True, n_recent_filings=895 | McAfee Corp. (CIK 0001783317): sic=Services-Prepackaged Software, dereg_evidence=True, n_recent_filings=201"
MHS,Marriott Corp.,0000314733,HOST MARRIOTT CORP/MD,edgar_company_search,medium,"The original Marriott Corporation (ticker MHS) split in October 1993 into Marriott International, Inc. and Host Marriott Corporation, which retained this CIK. EDGAR's electronic filing history for this CIK begins 1994 under the name HOST MARRIOTT CORP, consistent with the 1993 restructuring; deregistered 2005 (Form 25). Medium confidence because EDGAR has no record under the pre-1993 'Marriott Corp' name itself (pre-dates mandatory electronic filing)."
MIL,Millipore Corp,0000066479,MILLIPORE CORP /MA,edgar_company_search,high,"Exact EDGAR name match (state suffix /MA); confirmed via submissions.json, filed Form 15-12B deregistration 2010-07-26 matching Merck KGaA's acquisition of Millipore."
MOLX,Molex Inc.,0000067472,MOLEX INC,edgar_company_search,high,Exact EDGAR name match.
MWW,Monster Worldwide Inc.,0001020416,"MONSTER WORLDWIDE, INC.",edgar_company_search,high,unique exact EDGAR name match
MYG,Maytag Corp.,0000063541,MAYTAG CORP,edgar_company_search,high,unique exact EDGAR name match
NBL,Noble Energy Inc,0000072207,NOBLE ENERGY INC,edgar_company_search,high,unique exact EDGAR name match
NCC,National City Corp.,0000069970,NATIONAL CITY CORP,edgar_company_search,high,unique exact EDGAR name match
NFB,North Fork BanCorp,0000352510,NORTH FORK BANCORPORATION INC,edgar_company_search,high,"North Fork BanCorp = North Fork Bancorporation Inc (naming variant only); confirmed via submissions.json, filed 25-NSE (delisting) 2006-12-29 matching Capital One's acquisition of North Fork Bancorporation."
NFX,Newfield Exploration Company,0000912750,NEWFIELD EXPLORATION CO /DE/,edgar_company_search,high,unique exact EDGAR name match
NOVL,Novell Inc,0000758004,NOVELL INC,edgar_company_search,high,unique exact EDGAR name match
NSM,Nationstar Mortgage Holdings Inc.,0001520566,Nationstar Mortgage Holdings Inc.,edgar_company_search,high,unique exact EDGAR name match
NVLS,Novellus Systems Inc,0000836106,NOVELLUS SYSTEMS INC,edgar_company_search,high,unique exact EDGAR name match
NXTL,Nextel Communications Inc,0000824169,NEXTEL COMMUNICATIONS INC,edgar_company_search,high,matched among 2 EDGAR search results
NYX,NYSE Euronext Inc,0001368007,NYSE Euronext,edgar_company_search,high,unique exact EDGAR name match
OMX,OfficeMax Inc,0000929428,OFFICEMAX INC /OH/,edgar_company_search,high,matched among 3 EDGAR search results
PBG,Pepsi Bottling Group Inc.,0001076405,PEPSI BOTTLING GROUP INC,edgar_company_search,high,unique exact EDGAR name match
PCL,Plum Creek Timber Company,0000849213,PLUM CREEK TIMBER CO INC,edgar_company_search,high,unique exact EDGAR name match
PETM,PetSmart Inc,0000863157,PETSMART INC,edgar_company_search,high,unique exact EDGAR name match
PGL,Peoples Energy Corp,0000077385,PEOPLES ENERGY CORP,edgar_company_search,high,matched among 2 EDGAR search results
PGN,Progress Energy Inc.,0001094093,PROGRESS ENERGY INC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: PROGRESS ENERGY INC (CIK 0001094093): sic=Electric Services, dereg_evidence=True, n_recent_filings=1000 | PROGRESS ENERGY LTD (CIK 0001172413): sic=Crude Petroleum & Natural Gas, dereg_evidence=False, n_recent_filings=4"
PTV,Pactiv Corp,0001089976,PACTIV LLC,edgar_company_search,high,"Pactiv Corp is the same continuous SEC registrant (former name PACTIV CORP confirmed via submissions.json through 2011-11-03), renamed Pactiv LLC after Reynolds Group's 2010 acquisition."
PVN,Providian Financial Corp,0001035713,PROVIDIAN FINANCIAL CORP,edgar_company_search,high,unique exact EDGAR name match
PWER,Nomura Energy Transition ETF,,,manual_web,,"DATA QUALITY FLAG: the 'company' value supplied for this symbol ('Nomura Energy Transition ETF') is itself the CURRENT-day FMP profile/ticker-reuse name (an ETF or debt instrument), not a plausible historical S&P 500 constituent name -- it appears the input file's historical-name join failed for this symbol and fell back to today's ticker meaning, which the task instructions explicitly say not to use. Left unresolved rather than guessing; the true historical S&P 500 constituent for this symbol/ticker needs to be identified from the S&P 500 change-history source before a CIK can be looked up."
QEP,QEP Resources Inc,0001108827,"QEP RESOURCES, INC.",edgar_company_search,high,unique exact EDGAR name match
RBK,Reebok Int'l Ltd,0000770949,REEBOK INTERNATIONAL LTD,edgar_company_search,high,Exact EDGAR name match.
RDC,Rowan Companies plc,0000085408,ROWAN COMPANIES PLC,edgar_company_search,medium,"multiple exact-name EDGAR matches (ticker/name collisions across CIKs); disambiguated via deregistration-filing evidence where available. Candidates: ROWAN COMPANIES PLC (CIK 0000085408): sic=Drilling Oil & Gas Wells, dereg_evidence=True, n_recent_filings=1000 | ROWAN COMPANIES Ltd (CIK 0001542782): sic=Drilling Oil & Gas Wells, dereg_evidence=False, n_recent_filings=9 | ROWAN COMPANIES Ltd (CIK 0001866495): sic=, dereg_evidence=False, n_recent_filings=15 | Rowan Companies, Inc. (CIK 0001549937): sic=Drilling Oil & Gas Wells, dereg_evidence=False, n_recent_filings=16"
